variante,semente,geracao,hv
MOEA Normal,1,1,158.2724556321271
MOEA Normal,1,2,161.7301768910737
MOEA Normal,1,3,166.37597413976394
MOEA Normal,1,4,178.39032218305857
MOEA Normal,1,5,188.77928527963155
MOEA Normal,1,6,193.6777732507105
MOEA Normal,1,7,195.14628869039115
MOEA Normal,1,8,200.5071722780501
MOEA Normal,1,9,202.1021292838896
MOEA Normal,1,10,203.6402614241885
MOEA Normal,1,11,207.38042038799748
MOEA Normal,1,12,210.3665589195764
MOEA Normal,1,13,213.293675901056
MOEA Normal,1,14,216.88922752260868
MOEA Normal,1,15,219.7494649093481
MOEA Normal,1,16,221.68285820298752
MOEA Normal,1,17,227.7964202309019
MOEA Normal,1,18,228.19500504593992
MOEA Normal,1,19,229.6859281641971
MOEA Normal,1,20,231.65413872283807
MOEA Normal,1,21,231.9545742258841
MOEA Normal,1,22,232.05719044869207
MOEA Normal,1,23,232.2681450985118
MOEA Normal,1,24,232.31907835713207
MOEA Normal,1,25,232.44575185717343
MOEA Normal,1,26,232.55720238920517
MOEA Normal,1,27,232.66035412425248
MOEA Normal,1,28,232.64863132684656
MOEA Normal,1,29,232.66968988663393
MOEA Normal,1,30,232.60692972944685
MOEA Normal,1,31,233.22485528132864
MOEA Normal,1,32,233.204327560597
MOEA Normal,1,33,233.4753062738052
MOEA Normal,1,34,233.73265996073394
MOEA Normal,1,35,233.71373063362358
MOEA Normal,1,36,234.03486797341012
MOEA Normal,1,37,234.23416367862353
MOEA Normal,1,38,234.93845693579755
MOEA Normal,1,39,235.25816541095395
MOEA Normal,1,40,235.35714547458946
MOEA Normal,1,41,235.49510893240173
MOEA Normal,1,42,235.50798906900093
MOEA Normal,1,43,235.46041251800366
MOEA Normal,1,44,235.55014040374505
MOEA Normal,1,45,235.79826787180664
MOEA Normal,1,46,235.83863177223753
MOEA Normal,1,47,235.80734424505934
MOEA Normal,1,48,236.31398173521058
MOEA Normal,1,49,236.49245615363827
MOEA Normal,1,50,236.5210529589122
MOEA Normal,1,51,236.65715938880223
MOEA Normal,1,52,237.03591619566976
MOEA Normal,1,53,237.1191941704076
MOEA Normal,1,54,237.2139357830128
MOEA Normal,1,55,237.21389212743347
MOEA Normal,1,56,237.2446801693796
MOEA Normal,1,57,237.2765662661165
MOEA Normal,1,58,237.4713229082006
MOEA Normal,1,59,238.62816851488242
MOEA Normal,1,60,239.21173202946642
MOEA Normal,1,61,239.19799439623725
MOEA Normal,1,62,239.48687931346842
MOEA Normal,1,63,239.5104228213546
MOEA Normal,1,64,239.50656768818232
MOEA Normal,1,65,239.7654105853552
MOEA Normal,1,66,240.12310210183696
MOEA Normal,1,67,240.12224842778375
MOEA Normal,1,68,240.09715716773132
MOEA Normal,1,69,240.14451030306626
MOEA Normal,1,70,240.22357695911063
MOEA Normal,1,71,240.21021837069924
MOEA Normal,1,72,240.28331504513486
MOEA Normal,1,73,242.38886465560756
MOEA Normal,1,74,242.37639360036428
MOEA Normal,1,75,242.43347688837818
MOEA Normal,1,76,242.74532246373934
MOEA Normal,1,77,242.79086082594978
MOEA Normal,1,78,242.92548359828075
MOEA Normal,1,79,242.94409732661848
MOEA Normal,1,80,242.91241112173063
MOEA Normal,1,81,243.0026835856097
MOEA Normal,1,82,242.98262324589066
MOEA Normal,1,83,243.04386988864326
MOEA Normal,1,84,243.13166399276696
MOEA Normal,1,85,243.18487852772142
MOEA Normal,1,86,243.84969129348306
MOEA Normal,1,87,243.755930813615
MOEA Normal,1,88,243.83375188609017
MOEA Normal,1,89,244.71161864155428
MOEA Normal,1,90,244.89920509495315
MOEA Normal,1,91,244.8588352827549
MOEA Normal,1,92,244.9420517246603
MOEA Normal,1,93,244.83587250355208
MOEA Normal,1,94,245.99071452558047
MOEA Normal,1,95,245.73543249451035
MOEA Normal,1,96,245.73447429092448
MOEA Normal,1,97,245.83893602818983
MOEA Normal,1,98,246.24215235060444
