algoritmo,semente,hv_final_semente,n_nao_dominadas_semente,n_avaliacoes
NSGA2,1.0,271.82797035915365,100,15000
NSGA2,2.0,277.1002867536063,100,15000
NSGA2,3.0,269.20947132927523,100,15000
NSGA2,4.0,271.3703652344883,100,15000
NSGA2,5.0,257.3926580193027,100,15000
NSGA2,,281.9095768846166,307,15000
SPEA2,1.0,260.2725933114187,100,15000
SPEA2,2.0,274.6405333475325,100,15000
SPEA2,3.0,270.88931845318376,100,15000
SPEA2,4.0,264.85740433205086,100,15000
SPEA2,5.0,263.87781416011575,100,15000
SPEA2,,277.4964870614451,304,15000
